title,distance,prices
2018 Honda City VX,"40,058 km  |  Petrol  |  Bangalore",Rs. 8.95 Lakh
2021 Hyundai i20 Sportz 1.2 IVT [2020-2023],"11,058 km  |  Petrol  |  Bangalore",Rs. 8.75 Lakh
2017 Mahindra Scorpio S4 Plus,"1,53,782 km  |  Diesel  |  Bangalore",Rs. 9.95 Lakh
2011 Skoda Superb Elegance 1.8 TSI AT,"41,558 km  |  Petrol  |  Bangalore",Rs. 5.95 Lakh
2020 BMW X3 xDrive 30i Luxury Line,"26,648 km  |  Petrol  |  Bangalore",Rs. 55.85 Lakh
2021 Hyundai i20 Sportz 1.2 IVT [2020-2023],"74,359 km  |  Petrol  |  Bangalore",Rs. 8.99 Lakh
2022 Kia Seltos GTX Plus 1.4 DCT,"26,918 km  |  Petrol  |  Bangalore",Rs. 20.95 Lakh
2019 Volkswagen Tiguan Highline TDI,"64,000 km  |  Diesel  |  Bangalore",Rs. 28.5 Lakh
2020 Toyota Yaris VX CVT,"63,397 km  |  Petrol  |  Bangalore",Rs. 10.1 Lakh
2016 Bentley Continental Flying Spur V8,"19,900 km  |  Petrol  |  Bangalore",Rs. 1.79 Crore
2016 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"2,21,437 km  |  Diesel  |  Bangalore",Rs. 22.75 Lakh
2010 Skoda Laura Ambiente 1.8 TSI,"92,000 km  |  Petrol  |  Bangalore",Rs. 4.25 Lakh
2018 Maruti Suzuki Baleno Alpha Automatic,"24,376 km  |  Petrol  |  Bangalore",Rs. 7.45 Lakh
2017 Jaguar F-Pace Prestige [2016-2017],"57,835 km  |  Diesel  |  Bangalore",Rs. 44.88 Lakh
2014 MINI Cooper D 5 Door,"79,000 km  |  Diesel  |  Bangalore",Rs. 17 Lakh
2022 Toyota Urban Cruiser Hyryder V AWD NeoDrive [2022-2023],"7,335 km  |  Mild Hybrid(Electric + Petrol)  |  Bangalore",Rs. 19 Lakh
2019 Honda Jazz V AT Petrol,"35,397 km  |  Petrol  |  Bangalore",Rs. 7.75 Lakh
2019 Volkswagen Vento Highline Petrol,"57,000 km  |  Petrol  |  Bangalore",Rs. 8.45 Lakh
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,"14,980 km  |  Petrol  |  Bangalore",Rs. 10.95 Lakh
2013 Mercedes-Benz A-Class A 180 Sport Petrol,"34,500 km  |  Petrol  |  Bangalore",Rs. 14.5 Lakh
2015 Hyundai Grand i10 Asta 1.1 CRDi (O) [2013-2017],"42,118 km  |  Diesel  |  Bangalore",Rs. 6.15 Lakh
2014 Honda CR-V 2.4 AT,"70,106 km  |  Petrol  |  Bangalore",Rs. 13.25 Lakh
2013 Honda CR-V 2.4 AT,"1,10,129 km  |  Petrol  |  Bangalore",Rs. 11.75 Lakh
2018 BMW X1 sDrive20d xLine,"21,228 km  |  Diesel  |  Bangalore",Rs. 30.45 Lakh
2012 Mercedes-Benz B-Class B180 Sports,"37,322 km  |  Petrol  |  Bangalore",Rs. 11.95 Lakh
2016 MINI Cooper Convertible 1.6,"40,000 km  |  Petrol  |  Bangalore",Rs. 33.45 Lakh
