title,distance,prices
2015 Audi A4 35 TDI Premium Sunroof,"48,933 km  |  Diesel  |  Delhi",Rs. 15.75 Lakh
2013 Hyundai i10 Magna 1.2 Kappa2,"80,000 km  |  Petrol  |  Delhi",Rs. 2.65 Lakh
2014 Maruti Suzuki Celerio VXi AMT,"63,000 km  |  Petrol  |  Noida",Rs. 3.85 Lakh
2014 Maruti Suzuki Ciaz ZXi,"48,000 km  |  Petrol  |  Noida",Rs. 4.95 Lakh
2015 Datsun GO Plus T,"51,000 km  |  Petrol  |  Noida",Rs. 2.85 Lakh
2014 Maruti Suzuki Ertiga ZXi,"63,000 km  |  Petrol  |  Noida",Rs. 6.1 Lakh
2011 Nissan Micra XL Petrol,"62,000 km  |  Petrol  |  Noida",Rs. 2.35 Lakh
2014 Hyundai Xcent S 1.2,"62,000 km  |  Petrol  |  Noida",Rs. 3.95 Lakh
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"63,000 km  |  Petrol  |  Noida",Rs. 3.95 Lakh
2014 Maruti Suzuki Celerio VXi,"71,001 km  |  Petrol  |  Noida",Rs. 2.95 Lakh
2019 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"28,000 km  |  Diesel  |  Delhi",Rs. 48.75 Lakh
2020 BMW 5 Series 520d Luxury Line [2017-2019],"30,000 km  |  Diesel  |  Delhi",Rs. 44.95 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT,"8,000 km  |  Petrol  |  Delhi",Rs. 21.5 Lakh
2018 Mercedes-Benz C-Class C 200 Avantgarde Edition,"44,000 km  |  Petrol  |  Delhi",Rs. 28.65 Lakh
2016 Maruti Suzuki Wagon R 1.0 LXI CNG,"71,000 km  |  CNG + 1  |  Delhi",Rs. 3.6 Lakh
2014 Honda Mobilio S Diesel,"59,000 km  |  Diesel  |  Noida",Rs. 4.85 Lakh
2015 Maruti Suzuki Ciaz VXi+,"64,000 km  |  Petrol  |  Noida",Rs. 5.75 Lakh
